Brand,Year,Age,Engine_Size,Horsepower,Mileage,Fuel_Efficiency,Owners,Condition,Fuel_Type,Transmission,Price
Audi,2013,11,4.5,277,145684,19.2,4,6.7,Hybrid,Automatic,10500
BMW,2010,14,5.0,292,168222,16.7,4,4.9,Petrol,Automatic,5400
Mazda,2012,12,5.0,338,147942,19.4,2,5.9,Petrol,Manual,3400
Kia,2018,6,4.0,249,74910,25.1,3,10.0,Hybrid,Manual,10000
Toyota,2013,11,1.2,60,142919,46.8,3,8.2,Petrol,Automatic,3100
Chevrolet,2023,1,3.0,164,19855,42.5,1,10.0,Diesel,Automatic,23600
Volkswagen,2021,3,3.5,197,30866,30.9,1,10.0,Petrol,Manual,18400
Ford,2012,12,1.0,73,150984,39.5,3,4.7,Petrol,Automatic,1500
Tesla,2014,10,1.4,60,126379,31.9,4,8.5,Diesel,Automatic,15100
Audi,2020,4,3.5,215,41851,31.5,2,8.9,Diesel,Automatic,31500
Audi,2016,8,4.5,294,104237,24.4,2,9.2,Diesel,Automatic,17800
Mazda,2023,1,4.5,277,4259,25.9,1,10.0,Petrol,Automatic,33300
Hyundai,2013,11,3.5,196,126933,23.1,2,9.8,Petrol,Automatic,4200
Tesla,2018,6,1.6,102,74575,38.8,2,10.0,Petrol,Automatic,30800
Nissan,2010,14,1.2,62,168039,38.4,4,5.0,Diesel,Automatic,1200
Audi,2013,11,2.5,120,124246,34.3,4,6.6,Electric,Automatic,9300
Toyota,2018,6,5.0,329,72809,20.8,3,10.0,Diesel,Automatic,14700
Hyundai,2010,14,3.0,175,174205,27.5,2,6.6,Petrol,Automatic,2000
Kia,2012,12,2.5,165,149264,35.6,3,8.9,Electric,Automatic,3900
Audi,2018,6,3.5,212,84993,26.9,3,9.0,Hybrid,Automatic,22200
Toyota,2017,7,1.6,99,92474,39.0,2,7.8,Petrol,Automatic,5400
Tesla,2017,7,2.5,149,74401,37.3,3,7.6,Petrol,Automatic,21800
Subaru,2012,12,2.0,117,152721,37.9,4,5.2,Petrol,Manual,2100
Ford,2010,14,1.0,74,167884,38.6,3,5.0,Petrol,Automatic,1200
Toyota,2023,1,1.8,113,12506,39.8,1,10.0,Petrol,Manual,20800
Kia,2015,9,4.0,235,114351,22.3,4,7.9,Hybrid,Automatic,4800
Toyota,2018,6,4.5,276,89789,22.5,2,7.9,Hybrid,Automatic,12100
Subaru,2013,11,1.0,117,130346,37.4,3,6.7,Petrol,Manual,3000
Audi,2015,9,1.4,118,89327,40.6,3,6.2,Petrol,Manual,6700
BMW,2010,14,3.0,151,160846,30.0,2,6.6,Petrol,Automatic,5600
Ford,2016,8,3.0,149,97864,29.0,2,9.1,Petrol,Manual,5400
Kia,2019,5,1.0,84,44511,41.5,2,10.0,Petrol,Automatic,8000
Audi,2014,10,2.0,102,122289,34.0,5,6.5,Petrol,Manual,6700
Volkswagen,2019,5,4.0,251,27587,24.4,1,10.0,Petrol,Automatic,16100
Chevrolet,2011,13,1.6,117,141641,39.0,2,5.7,Diesel,Automatic,1700
Chevrolet,2017,7,5.0,313,99860,17.8,1,9.1,Diesel,Automatic,8900
Tesla,2019,5,4.5,274,53773,24.4,2,9.5,Diesel,Automatic,57300
Kia,2014,10,1.2,60,128995,39.9,5,7.8,Diesel,Automatic,2500
Tesla,2012,12,1.0,60,147827,40.5,4,4.9,Hybrid,Automatic,7400
Hyundai,2012,12,3.5,203,150328,19.7,5,5.9,Hybrid,Automatic,2800
Volkswagen,2022,2,3.5,203,33840,31.8,1,10.0,Petrol,Automatic,22100
BMW,2013,11,1.8,140,138241,37.4,2,7.2,Diesel,Automatic,8200
Hyundai,2019,5,4.0,227,62436,28.2,2,9.4,Petrol,Automatic,10300
Mercedes,2012,12,3.0,162,129519,24.8,5,6.7,Diesel,Automatic,8000
Volkswagen,2012,12,5.0,269,159700,18.1,5,6.3,Diesel,Automatic,3600
Audi,2010,14,1.4,92,172926,36.3,4,4.4,Diesel,Automatic,2900
Kia,2021,3,1.8,105,38851,38.1,1,10.0,Diesel,Automatic,12500
Mercedes,2012,12,2.5,138,165898,29.1,5,6.9,Petrol,Manual,6800
Volkswagen,2021,3,1.8,113,54761,42.4,2,10.0,Petrol,Manual,13000
Hyundai,2011,13,4.0,214,167794,22.1,5,5.3,Hybrid,Automatic,2400
Toyota,2011,13,3.5,186,150006,26.0,2,6.1,Diesel,Automatic,2700
Hyundai,2023,1,1.0,60,13202,46.0,1,10.0,Diesel,Automatic,14700
Tesla,2016,8,4.0,187,93317,24.4,1,9.4,Diesel,Automatic,28400
Audi,2014,10,1.8,122,131496,37.6,4,8.3,Petrol,Automatic,8000
Honda,2013,11,3.5,232,132740,31.9,4,5.6,Diesel,Automatic,3600
Toyota,2021,3,1.6,93,39840,40.4,1,9.9,Diesel,Automatic,15600
